photo_bucket,n,mae
"[1,2)",1620,0.43783049382716044
"[10,20)",590,0.38853745762711867
"[100,1000000)",6,0.4456166666666666
"[2,3)",977,0.43343306038894575
"[20,50)",223,0.3359497757847533
"[3,5)",1165,0.44637716738197414
"[5,10)",1221,0.41420171990171983
"[50,100)",28,0.365275
