review_bucket,n,mae
"[10,20)",688,0.49613764534883725
"[100,200)",1033,0.38688160696999024
"[1000,1000000)",54,0.35260555555555556
"[20,50)",1364,0.4504332111436951
"[200,500)",825,0.33535054545454546
"[5,10)",423,0.6136248226950354
"[50,100)",1244,0.4015807877813505
"[500,1000)",199,0.328429648241206
